Pincode,Sort Code,Courier Mode
151509,TWX/TWX,BLUEDART
151510,BRA/BRA,BLUEDART
152001,FZR/FZR,BLUEDART
152002,FZR/FZR,BLUEDART
152003,FZP/FZP,BLUEDART
152004,FZP/FZP,BLUEDART
152005,FZP/FZP,BLUEDART
152020,FLK/FLK,BLUEDART
152021,ZRA/ZRA,BLUEDART
152022,FZP/FZP,BLUEDART
152023,FZP/FZP,BLUEDART
152024,MKZ/MKZ,BLUEDART
152025,MKZ/MKZ,BLUEDART
152026,MKZ/MKZ,BLUEDART
152031,MKZ/MKZ,BLUEDART
152032,MKZ/MKZ,BLUEDART
152033,MKZ/MKZ,BLUEDART
152101,MLT/MLT,BLUEDART
152107,MLT/MLT,BLUEDART
152112,MKZ/MKZ,BLUEDART
152113,MLT/MLT,BLUEDART
152114,MLT/MLT,BLUEDART
152115,MWL/MWL,BLUEDART
152116,ABH/ABH,BLUEDART
152117,ABH/ABH,BLUEDART
152118,ABH/ABH,BLUEDART
152121,FLK/FLK,BLUEDART
152122,ABH/ABH,BLUEDART
152123,FLK/FLK,BLUEDART
152124,MKZ/MKZ,BLUEDART
152128,ABH/ABH,BLUEDART
152132,ABH/ABH,BLUEDART
160001,CAR/CMM,BLUEDART
160002,CAR/CNO,BLUEDART
160003,CAR/CNO,BLUEDART
160004,ZKP/ZKP,BLUEDART
160005,CAR/CMM,BLUEDART
160006,CAR/CMM,BLUEDART
160007,CAR/CMM,BLUEDART
160008,CAR/CMM,BLUEDART
160009,CAR/CMM,BLUEDART
160010,CAR/CMM,BLUEDART
160011,CAR/CMM,BLUEDART
160012,CAR/CMM,BLUEDART
160013,CAR/CMM,BLUEDART
160014,CAR/CMM,BLUEDART
160015,CAR/CMM,BLUEDART
160016,CAR/CMM,BLUEDART
160017,CAR/CMM,BLUEDART
160018,CAR/CMM,BLUEDART
160019,CAR/CMM,BLUEDART
160020,CAR/CMM,BLUEDART
160021,CAR/CMM,BLUEDART
160022,CAR/CMM,BLUEDART
160023,CAR/CMM,BLUEDART
160024,CAR/CMM,BLUEDART
160025,CAR/CMM,BLUEDART
160026,CAR/CMM,BLUEDART
160027,CAR/CMM,BLUEDART
160028,CAR/CMM,BLUEDART
160029,CAR/CMM,BLUEDART
160030,CAR/CMM,BLUEDART
160031,CAR/CNO,BLUEDART
160032,CNE/CNE,BLUEDART
160033,CNE/CNE,BLUEDART
160034,CAR/CMM,BLUEDART
160035,CAR/CMM,BLUEDART
160036,CAR/CMM,BLUEDART
160037,CAR/CMM,BLUEDART
160038,CAR/CMM,BLUEDART
160039,CAR/CNO,BLUEDART
160040,CAR/CMM,BLUEDART
160041,CAR/CMM,BLUEDART
160042,CAR/CMM,BLUEDART
160043,CAR/CMM,BLUEDART
160044,CNE/CNE,BLUEDART
